193.36.225.58 - - [27/Mar/2024:04:50:30 +0000] "GET /.env.save HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
193.36.225.61 - - [27/Mar/2024:04:50:31 +0000] "POST /.env.save HTTP/1.1" 405 166 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0"
192.109.205.172 - - [27/Mar/2024:04:50:32 +0000] "GET /.env.old HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0"
192.109.205.169 - - [27/Mar/2024:04:50:33 +0000] "POST /.env.old HTTP/1.1" 405 568 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
193.36.225.70 - - [27/Mar/2024:04:50:34 +0000] "GET /.env.prod HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
136.144.33.29 - - [27/Mar/2024:04:50:35 +0000] "POST /.env.prod HTTP/1.1" 405 568 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
192.109.205.160 - - [27/Mar/2024:04:50:36 +0000] "GET /.env.production HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
192.109.205.165 - - [27/Mar/2024:04:50:36 +0000] "POST /.env.production HTTP/1.1" 405 568 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
193.36.225.67 - - [27/Mar/2024:04:50:38 +0000] "GET /.env.development%20 HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0"
192.109.205.171 - - [27/Mar/2024:04:50:38 +0000] "POST /.env.development%20 HTTP/1.1" 405 166 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0"
193.36.225.58 - - [27/Mar/2024:04:50:39 +0000] "GET /laravel/.env%20 HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
193.36.225.72 - - [27/Mar/2024:04:50:40 +0000] "POST /laravel/.env%20 HTTP/1.1" 405 166 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0"
37.140.223.68 - - [27/Mar/2024:04:50:41 +0000] "GET /admin-app/.env%20 HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
192.109.205.46 - - [27/Mar/2024:04:50:43 +0000] "POST /admin-app/.env%20 HTTP/1.1" 405 166 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0"
192.109.205.172 - - [27/Mar/2024:04:50:43 +0000] "GET /api/.env HTTP/1.1" 200 714 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
192.109.205.166 - - [27/Mar/2024:04:50:44 +0000] "POST /api/.env HTTP/1.1" 405 568 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
